Collection_ID,Datetime,Village_Khyllemsangrin,Village_Kriangrin,Village_Kyrdum,Village_Langja,Village_Mawsikar,Village_Nonglang,Village_Pyndensohstap,Village_Siangra,Village_Umthlu,Village_Umwahlang,House_ID,Latitude,Longitude,Elevation,Building_Material_Bamboo,Building_Material_Concrete,Building_Material_Wood,Roof_Type_Concrete,Roof_Type_Thatched,Roof_Type_Tin,Open_Eaves,Standing_Water_Cistern_Outside,Standing_Water_Plastic_Container,Standing_Water_Tin_Can,Standing_Water_Other_Container,Animals_Nearby,Chicken_Count,Chicken_Distance,Cattle_Count,Cattle_Distance,Dog_Count,Dog_Distance,Goat_Count,Goat_Distance,Pig_Count,Pig_Distance,Horse_Count,Horse_Distance,Duck_Count,Duck_Distance,Cat_Count,Cat_Distance,Terrain_Hill,Terrain_Plateau,Terrain_Valley,Sky_Clear,Sky_Heavy_Rain,Sky_Light_Rain,Sky_Partly_Cloudy,Environment_Secondary_Evergreen_Forest,Environment_Village,Wind_Gusts,Wind_Light,Wind_None,Wind_Strong,Slept_Under_ITN_LN,Used_Repellent_LN,Repellent_Type_Coil_LN,Repellent_Type_Cream_LN,Repellent_Type_Mat_LN,Repellent_Type_Spray_LN,Repellent_Type_Vaporizer_LN,Repellent_Type_Other_LN,Used_Repellent_CN,Repellent_Type_Coil_CN,Repellent_Type_Cream_CN,Repellent_Type_Mat_CN,Repellent_Type_Spray_CN,Repellent_Type_Vaporizer_CN,Repellent_Type_Other_CN,Mosquito_Count,An._Maculatus,An._Pseudowillmori,An._Willmori,An._Jeyporiensis,An._Annularis,An._Nitidus,An._Peditaeniatus,An._Xui,An._Splendidus,An._Jamesii,Rice,Open_Forest,Closed_Forest,Plantation,Village,Bare_Earth,Month
NKHY001,2019-05-14 15:58:00,1,0,0,0,0,0,0,0,0,0,khyl049,25.728666666666665,91.1772,1015,0,0,1,0,0,1,1,0,0,0,1,1,1,25.0,0,,0,,0,,0,,0,,0,,0,,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0.194974836,0.28968422,0.459543278,0.023597426,0.024851713,0.007348527,May
NKHY002,2019-05-14 16:19:00,1,0,0,0,0,0,0,0,0,0,khyl019,25.72805,91.17883333333333,1006,0,0,1,0,0,1,1,0,0,0,1,1,5,25.0,0,,1,25.0,0,,0,,0,,0,,1,25.0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160528137,0.307463923,0.482421357,0.029887018,0.015092659,0.004606906,May
NKHY003,2019-05-14 16:48:00,1,0,0,0,0,0,0,0,0,0,khyl025,25.72735,91.17725,1005,0,0,1,0,0,1,1,0,0,0,1,1,0,,0,,0,,0,,0,,0,,0,,1,25.0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201191315,0.294563463,0.452839216,0.022333584,0.022096771,0.006975651,May
NKHY004,2019-05-14 17:07:00,1,0,0,0,0,0,0,0,0,0,khyl021,25.727516666666666,91.17791666666666,1017,0,1,0,0,0,1,1,0,0,0,1,1,1,25.0,0,,1,,0,,0,,0,,0,,1,25.0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.185463889,0.299716951,0.464644837,0.025008138,0.019163212,0.006002973,May
NKHY005,2019-05-14 17:23:00,1,0,0,0,0,0,0,0,0,0,khyl029,25.727733333333333,91.17583333333333,974,0,1,0,1,0,0,1,0,0,0,1,1,0,,0,,1,25.0,0,,1,50.0,0,,0,,1,25.0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.232428831,0.285167835,0.423677288,0.018252793,0.030772366,0.009700888,May
NKHY007,2019-05-14 17:49:00,1,0,0,0,0,0,0,0,0,0,khyl043,25.727066666666666,91.17506666666667,953,0,0,1,0,0,1,1,0,0,0,1,1,0,,0,,0,,0,,1,50.0,0,,0,,0,,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244115715,0.283079484,0.41533752,0.01678083,0.030656578,0.010029873,May
NKHY009,2019-05-14 18:37:00,1,0,0,0,0,0,0,0,0,0,khyl010,25.7307,91.1767,987,0,0,1,0,0,1,1,0,0,0,1,1,0,,4,50.0,2,25.0,0,,1,50.0,0,,0,,1,25.0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.169153776,0.263949176,0.506776945,0.023386566,0.029197698,0.007535838,May
NKHY011,2019-05-15 16:16:00,1,0,0,0,0,0,0,0,0,0,khyl066,25.7318,91.176,983,1,0,0,0,1,0,1,0,0,0,1,1,0,,0,,1,25.0,0,,0,,0,,0,,0,,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.151741589,0.238508521,0.551362293,0.01907021,0.03140155,0.007915837,May
NKHY013,2019-05-15 16:34:00,1,0,0,0,0,0,0,0,0,0,khyl014,25.731783333333333,91.17553333333333,953,0,1,0,0,0,1,1,0,0,0,1,1,0,,1,50.0,1,25.0,0,,0,,0,,0,,0,,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164081167,0.241013234,0.534523989,0.017617015,0.033729585,0.009035009,May
NKHY017,2019-05-15 17:23:00,1,0,0,0,0,0,0,0,0,0,khyl074,25.731933333333334,91.1746,983,1,0,0,0,1,0,1,0,1,0,0,1,2,25.0,0,,0,,0,,1,25.0,0,,0,,0,,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176870024,0.241077621,0.519979429,0.015051742,0.036371138,0.010650046,May
